success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,variant
False,14.5,-0.2008197892286112,0.387732859933784,True,91.37478412836515,0.13546043852083398,0.19630173891746264,267.4557224795214,0.1500795866791874,2.023825234023249,1.7735014728863223,1.8189728156054437,120.57809494042996,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9761747659767508,False,False,68.0,68.0,68.0,13.65,68.0,53.550000000000004,0,267.6420799258733,0.9728445354348838,0.0,e1_tracking_single_obstacle,M7,34,0.7,baseline
False,14.55,-0.21247565525983048,0.3825217368845184,True,91.72663359587085,0.13784358625884713,0.1974038697036493,267.04600603057344,0.14552359183166994,2.019104824383619,1.7657092037759632,1.8091329205867703,121.0066733276314,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9808951756163808,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.3848672040445,0.9776568591416802,0.0,e1_tracking_single_obstacle,M7,35,0.7,baseline
False,14.600000000000001,-0.16251341952322418,0.3848586542690483,True,91.5798559998097,0.1294209215608342,0.1978937056086211,267.51142915656635,0.15163704580142598,2.0253660052021916,1.7760257040704075,1.8222097564606388,121.18988164217569,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9746339947978084,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,267.6513528300536,0.9713787705505588,0.0,e1_tracking_single_obstacle,M7,36,0.7,baseline
False,14.65,-0.18594099396845576,0.3974959389326802,True,91.76682398893257,0.12708869483119556,0.19899583639480775,266.83052861100634,0.14445264404718633,2.017260747526,1.7629159856750534,1.8053907428099107,120.98187798181445,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.982739252474,False,False,68.0,68.0,68.0,13.75,68.0,53.400000000000006,0,267.16574284887145,0.9796678841727123,0.0,e1_tracking_single_obstacle,M7,37,0.7,baseline
False,14.55,-0.16327601365337352,0.38237082432133307,True,91.39302418995325,0.1281650205629408,0.1970364927749204,266.97359654368597,0.14508286413445004,2.0185058471426927,1.7647618829241656,1.8079123791707576,120.50378793482615,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9814941528573073,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.3127577101783,0.9783235543844576,0.0,e1_tracking_single_obstacle,M7,38,0.7,baseline
False,14.600000000000001,-0.15419237359652216,0.3830452339152318,True,91.68803992374883,0.12813492408658347,0.19777124663237816,267.3678713747434,0.14886914309329521,2.0224781520448816,1.7713347094215939,1.8161604293874143,120.76819170741338,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9775218479551184,False,False,68.0,68.0,68.0,13.75,68.0,53.45,0,267.5942902649993,0.9741706586614921,0.0,e1_tracking_single_obstacle,M7,39,0.7,baseline
False,14.65,-0.266888663765788,0.4224101137413223,True,92.11242063407171,0.20035333280923057,0.19777124663237816,261.60201850726065,0.26197251277671924,2.011168751159124,1.7446683663254345,1.7901910171808326,121.76188404288858,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9888312488408761,False,False,68.0,68.0,68.0,13.75,68.0,53.400000000000006,0,261.81461527481827,0.9851918249834429,0.0,e1_tracking_single_obstacle,M7,10,0.7,c_like
False,14.55,-0.2652729219068851,0.4215920688133945,True,91.63281626064395,0.19995878085225416,0.1961792799412197,261.47877929781953,0.2616052328529081,2.0090938894417936,1.7419924820463348,1.786245866045841,121.1390855510748,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9909061105582064,False,False,68.0,68.0,68.0,13.65,68.0,53.5,0,261.72705086437895,0.9873342423904192,0.0,e1_tracking_single_obstacle,M7,11,0.7,c_like
False,14.600000000000001,-0.2742588544991178,0.4250270358352827,True,91.67135215870235,0.15992016132072542,0.1985060004898359,261.59608700250743,0.2619035272290293,2.0106357530452486,1.7440036537117642,1.7891764100998622,121.6811233258912,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9893642469547514,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.84071217083203,0.9857036918252646,0.0,e1_tracking_single_obstacle,M7,12,0.7,c_like
False,14.600000000000001,-0.2660780582590143,0.423730633838234,True,91.19348650613878,0.1500278906476656,0.1976487876561352,264.54359431540627,0.2650431999787825,1.9798958262415596,1.7050899985631807,1.7467356116742236,121.012590094427,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0201041737584404,False,False,68.0,68.0,68.0,13.65,68.0,53.45,0,265.1329828527159,1.016247489866232,0.0,e1_tracking_single_obstacle,M7,13,0.7,c_like
