success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,scene,method,seed
False,75.0,0.6759216042434586,5.739756401999348e-14,True,192.05762241183228,9887.360937493731,0.014101709971130357,359.8472203496337,2.5240389009563913e-08,10.983443168832487,10.983437745417369,10.983437745417369,291.9111577031176,0,1.0,s5_dense_tracking,M3,1
False,75.0,0.6562432341501836,4.3737534429170206e-13,True,192.063973401941,9844.666455020011,0.014323784143904063,359.80967676283655,2.330330701836247e-08,10.963817329641676,10.963803887715043,10.963803887715043,291.9225805607696,0,1.0,s5_dense_tracking,M3,2
False,75.0,-1.1148348171265867,0.38999547475528007,True,191.69131570176546,548.7383780779954,0.2842549411503442,204.71265913438214,0.224820174680241,1.5595944171448928,1.1667737641945712,1.2710610132863653,255.60994222096141,0,0.0,s5_dense_tracking,M4,0
False,75.0,-1.1370864112146732,0.36479363894858213,True,192.1307358844041,619.8026997302856,0.2860315345325339,217.56979428269264,0.22861418678000375,1.6131434329485597,1.2504068288120502,1.3732718204816483,256.3877987672722,0,0.0,s5_dense_tracking,M4,1
False,75.0,-1.151809578852445,0.36352531568429697,True,190.27212129530187,613.2452172370444,0.28270042194092826,206.0282462167697,0.22371983446903343,1.5619480428784565,1.1710541962952066,1.2634074120235648,254.56901661185165,0,0.0,s5_dense_tracking,M4,2
False,75.0,-1.2363483505558164,0.2933338812569427,True,198.8054065593458,997.809168606779,0.2985787252942483,262.67657951773464,0.24304981915010063,1.8135922878629067,1.5495851359394066,1.718754277239888,260.5491407104983,0,1.0,s5_dense_tracking,M5,0
False,75.0,-0.9900775717195767,0.27601010591185055,True,199.21345917192207,947.5268877151507,0.29480346435709526,264.3418041246044,0.246089141087808,1.8148705971745818,1.5526635396109967,1.7275470520477805,261.2865979549547,0,1.0,s5_dense_tracking,M5,1
False,75.0,-1.098421575354587,0.34736682152292503,True,197.39041387455643,871.7759933443353,0.29435931601154786,245.17329537836468,0.22556768516064496,1.7359141946354086,1.435240478641598,1.5790536694529733,259.19652713886336,0,1.0,s5_dense_tracking,M5,2
False,75.0,-1.114964116243773,0.3896711709941222,True,193.68990669767436,741.9303152176651,0.28936264712413945,217.34774578091756,0.1544995586047392,1.649821255931929,1.2596239987763347,1.3658586646188855,257.2060214193911,0,0.0,s5_dense_tracking,M6,0
False,75.0,-1.1371269719713428,0.36441747624564635,True,192.85154268654344,661.2459167033767,0.28303353320008884,241.75418456975873,0.18247437575550898,1.7517166065326313,1.4417183586327005,1.571667192953345,256.61344768242594,0,1.0,s5_dense_tracking,M6,1
False,75.0,-1.1521716859033395,0.3634012080043434,True,191.15198058568097,649.9337032860228,0.2863646457916944,204.26950484041103,0.14416355923304777,1.6051902858147218,1.1730619708917494,1.265458917206254,255.8619276355188,0,0.0,s5_dense_tracking,M6,2
False,75.0,-1.2366992908164125,0.29333181908665634,True,193.08495541041646,650.958919723191,0.2971352431712192,257.5486270169859,0.1884019100565867,1.8264711642815754,1.5494874080012173,1.7211469723535149,254.810284182494,0,1.0,s5_dense_tracking,M7,0
False,75.0,-0.9898532986914181,0.2760187238839757,True,197.18019292717207,861.3465276182181,0.29269375971574507,256.71076012626384,0.1861061854684333,1.8208345345582064,1.540918840055983,1.7109882626563335,258.9035809638659,0,1.0,s5_dense_tracking,M7,1
False,75.0,-1.0980894429210426,0.31535651145654564,True,195.21310441231887,666.9485624548856,0.2928047968021319,226.93263628365068,0.15885066072914816,1.6835585374230242,1.3209481673037233,1.42750815911169,258.0515623774266,0,0.0,s5_dense_tracking,M7,2
False,60.0,inf,4.848616405060841e-07,True,290.02774186112015,0.0034701215096175214,0.4648903691368304,359.9999999999802,2.2336554474500124e-12,1.0357657815444483,1.0357657815444488,1.0357657815444488,320.9027857549195,0,1.0,s6_fast_target,M1,0
False,60.0,inf,1.159779428290933e-07,True,289.875244784037,0.0035230121101308895,0.46378018318068276,359.99999999998306,1.9928468626464507e-12,1.035765632167324,1.0357656321673256,1.0357656321673256,320.8169297404503,0,1.0,s6_fast_target,M1,1
False,60.0,inf,1.5159348388256602e-09,True,289.7825245166068,0.0035070997965122633,0.4633638634471274,359.99999999998624,3.18031125654334e-12,1.0357656792446501,1.0357656792446501,1.0357656792446501,320.7647280555501,0,1.0,s6_fast_target,M1,2
False,60.0,inf,0.019575063958362116,True,208.98324429849993,0.0011730807118300879,0.0,359.86411129700224,0.045487939631122354,8.783878265886662,8.783875621996213,8.783875621996213,274.1738958699015,0,1.0,s6_fast_target,M3,0
False,60.0,inf,0.008732189538033315,True,208.98324429849993,0.0011984837688262125,0.0,359.8690129046258,0.03876870134409011,8.768834326811582,8.768831802483525,8.768831802483525,274.17389586990134,0,1.0,s6_fast_target,M3,1
False,60.0,inf,0.008850331340148666,True,208.98324429849993,0.0011909150837501276,0.0,359.87391801104314,0.05630761660573103,8.760882631705913,8.760880261690676,8.760880261690676,274.1738958699015,0,1.0,s6_fast_target,M3,2
False,60.0,inf,0.5543592217952209,True,274.9902940997861,0.0244586421380767,0.36483485983902303,303.4157402630363,0.3141485995800222,2.603405235038447,2.470247274119221,3.246456004222258,312.4151301355548,0,0.0,s6_fast_target,M4,0
False,60.0,inf,0.5168568822331971,True,274.7814317078975,0.02515777571656314,0.35026366916458507,304.4575669526397,0.3243124323932826,2.603794139953321,2.4732680858668346,3.2494752003573204,312.3726848667568,0,0.0,s6_fast_target,M4,1
False,60.0,inf,0.4996312448064345,True,274.633764029834,0.023118089441703137,0.3452678323619206,307.2403826570912,0.3305746457908901,2.603775571527725,2.4749607582175,3.2511644987370514,312.28926226723615,0,0.0,s6_fast_target,M4,2
False,60.0,inf,0.5543592217952209,True,274.9902940997861,0.0244586421380767,0.36483485983902303,303.4157402630363,0.3141485995800222,2.603405235038447,2.470247274119221,3.246456004222258,312.4151301355548,0,0.0,s6_fast_target,M5,0
False,60.0,inf,0.5168568822331971,True,274.7814317078975,0.02515777571656314,0.35026366916458507,304.4575669526397,0.3243124323932826,2.603794139953321,2.4732680858668346,3.2494752003573204,312.3726848667568,0,0.0,s6_fast_target,M5,1
False,60.0,inf,0.4996312448064345,True,274.633764029834,0.023118089441703137,0.3452678323619206,307.2403826570912,0.3305746457908901,2.603775571527725,2.4749607582175,3.2511644987370514,312.28926226723615,0,0.0,s6_fast_target,M5,2
False,60.0,inf,0.5535435485229383,True,274.95858022411517,0.022909991899385557,0.36455731334998615,303.636730731374,0.2932871897875862,2.603647604276762,2.4697905843820247,3.2459993008166497,312.40448352687235,0,0.0,s6_fast_target,M6,0
