step,time,agent,omega,rho,psi_tilde,phi
39,1.9500000000000002,1,0.0,1.0,0.998898501574541,0.0
39,1.9500000000000002,2,0.0,1.0,0.998898501574541,0.0
39,1.9500000000000002,3,0.0,1.0,0.998898501574541,0.0
39,1.9500000000000002,4,0.0,1.0,0.998898501574541,0.0
39,1.9500000000000002,5,0.0,1.0,0.9988985015745412,0.0
40,2.0,0,0.0,1.0,0.9989035344363847,0.0
40,2.0,1,0.0,1.0,0.9989035344363847,0.0
40,2.0,2,0.0,1.0,0.9989035344363847,0.0
40,2.0,3,0.0,1.0,0.9989035344363847,0.0
40,2.0,4,0.0,1.0,0.9989035344363847,0.0
40,2.0,5,0.0,1.0,0.9989035344363847,0.0
41,2.0500000000000003,0,0.0,1.0,0.9989081648616692,0.0
41,2.0500000000000003,1,0.0,1.0,0.9989081648616692,0.0
41,2.0500000000000003,2,0.0,1.0,0.9989081648616692,0.0
41,2.0500000000000003,3,0.0,1.0,0.9989081648616692,0.0
41,2.0500000000000003,4,0.0,1.0,0.9989081648616692,0.0
41,2.0500000000000003,5,0.0,1.0,0.9989081648616693,0.0
42,2.1,0,0.0,1.0,0.998912403405558,0.0
42,2.1,1,0.0,1.0,0.998912403405558,0.0
42,2.1,2,0.0,1.0,0.998912403405558,0.0
42,2.1,3,0.0,1.0,0.998912403405558,0.0
42,2.1,4,0.0,1.0,0.9989124034055578,0.0
42,2.1,5,0.0,1.0,0.998912403405558,0.0
43,2.15,0,0.0,1.0,0.9989162623657498,0.0
43,2.15,1,0.0,1.0,0.9989162623657498,0.0
43,2.15,2,0.0,1.0,0.9989162623657498,0.0
43,2.15,3,0.0,1.0,0.9989162623657498,0.0
43,2.15,4,0.0,1.0,0.9989162623657498,0.0
43,2.15,5,0.0,1.0,0.9989162623657498,0.0
44,2.2,0,0.0,1.0,0.9989197553201139,0.0
44,2.2,1,0.0,1.0,0.9989197553201139,0.0
44,2.2,2,0.0,1.0,0.9989197553201139,0.0
44,2.2,3,0.0,1.0,0.9989197553201139,0.0
44,2.2,4,0.0,1.0,0.9989197553201139,0.0
44,2.2,5,0.0,1.0,0.9989197553201139,0.0
45,2.25,0,0.0,1.0,0.9989228967286855,0.0
45,2.25,1,0.0,1.0,0.9989228967286855,0.0
45,2.25,2,0.0,1.0,0.9989228967286855,0.0
45,2.25,3,0.0,1.0,0.9989228967286855,0.0
45,2.25,4,0.0,1.0,0.9989228967286855,0.0
45,2.25,5,0.0,1.0,0.9989228967286855,0.0
46,2.3000000000000003,0,0.0,1.0,0.9989257015952124,0.0
46,2.3000000000000003,1,0.0,1.0,0.9989257015952124,0.0
46,2.3000000000000003,2,0.0,1.0,0.9989257015952124,0.0
46,2.3000000000000003,3,0.0,1.0,0.9989257015952124,0.0
46,2.3000000000000003,4,0.0,1.0,0.9989257015952124,0.0
46,2.3000000000000003,5,0.0,1.0,0.9989257015952124,0.0
47,2.35,0,0.0,1.0,0.9989281851828752,0.0
47,2.35,1,0.0,1.0,0.9989281851828752,0.0
47,2.35,2,0.0,1.0,0.9989281851828752,0.0
47,2.35,3,0.0,1.0,0.998928185182875,0.0
47,2.35,4,0.0,1.0,0.998928185182875,0.0
