success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,eta_min,sigma_omega
False,19.55,1.0017276075533552,0.2697532815090782,True,98.04161889043974,1469.626749662741,0.01643778610070745,74.8676391883108,0.012053134369497884,0.2566591623489993,0.004232980952418916,0.004232980952418916,139.10368987061747,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433408376510007,False,False,25.700000000000003,25.200000000000003,25.700000000000003,22.1,40.0,20.5,0,74.9204523335908,2.5413135124754627,1.0,s4_narrow_passage_medium,M7,34,0.06,2.0
False,19.400000000000002,1.005926932510486,0.26950583941559014,True,97.75823130707862,1439.3251226159564,0.01706200582605077,75.02767736069032,0.010269737002242466,0.2606814407301584,0.006579936867001909,0.006579936867001909,138.89301880446385,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393185592698413,False,False,25.75,25.150000000000002,25.75,22.0,40.0,20.650000000000002,0,74.92496746734354,2.541309176317543,1.0,s4_narrow_passage_medium,M7,35,0.06,2.0
False,19.8,0.9767104869155372,0.2687231484785495,True,97.7573565796733,1462.9978656317105,0.018310445276737412,75.26291703865438,0.010268729823852329,0.26068866629196524,0.0065721819999104,0.0065721819999104,139.0101353841344,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393113337080346,False,False,25.700000000000003,25.55,25.700000000000003,22.35,40.0,20.25,0,74.93009948011856,2.541330274243081,1.0,s4_narrow_passage_medium,M7,36,0.06,2.0
False,19.6,1.0073666992444588,0.2555701195528365,True,98.43988495820415,1473.6754828585915,0.014773200166458594,73.25447831648893,0.01026167910507081,0.2606638479780276,0.006533742972557078,0.006533742972557078,139.49074080198235,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393361520219724,False,False,26.150000000000002,25.6,26.150000000000002,22.150000000000002,40.0,20.450000000000003,0,74.80623494206388,2.5413322565566836,1.0,s4_narrow_passage_medium,M7,37,0.06,2.0
False,19.700000000000003,0.9901922153042892,0.2680399488128146,True,97.70886133521171,1473.4002837898631,0.01914273824386184,75.21574593681605,0.010269122122424234,0.2606875747183448,0.006575553675938082,0.006575553675938082,138.9735328706893,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539312425281655,False,False,26.05,25.55,26.05,22.25,40.0,20.35,0,74.9257571014371,2.5413299012043593,1.0,s4_narrow_passage_medium,M7,38,0.06,2.0
False,19.8,0.9837107079771987,0.26626683509289195,True,98.49854280864541,1464.0424809055585,0.02039117769454848,75.6173144466359,0.012054624464066818,0.2566167877022443,0.004185100006604533,0.004185100006604533,139.5260059762084,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433832122977558,False,False,25.8,25.55,25.8,22.3,40.0,20.25,0,74.90955617637981,2.541328959427959,1.0,s4_narrow_passage_medium,M7,39,0.06,2.0
False,20.400000000000002,0.9637670304677475,0.26881951940230137,True,97.44183392850482,1474.0483617648752,0.017478152309612985,73.60674927023601,0.010262815773068727,0.26066512150112914,0.006537634456185618,0.006537634456185618,139.14347885848218,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393348784988707,False,False,26.150000000000002,26.05,26.150000000000002,22.85,40.0,19.650000000000002,0,74.947475532473,2.541300382149638,1.0,s4_narrow_passage_medium,M7,10,0.06,4.0
False,20.400000000000002,0.985041787426179,0.26840995378651017,True,97.67491240173312,1505.8849861092863,0.018518518518518517,75.58187719276543,0.012053226444781453,0.2566330761410414,0.004207885810874753,0.004207885810874753,139.34323744787986,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433669238589585,False,False,26.3,26.1,26.3,22.85,40.0,19.650000000000002,0,74.92203951916643,2.5413167653081232,1.0,s4_narrow_passage_medium,M7,11,0.06,4.0
False,20.55,0.9738066773137677,0.269741712050899,True,96.06664892399567,1397.401411130451,0.02122347066167291,75.34076613716884,0.010264731701442056,0.2606771869957952,0.0065501114106046535,0.0065501114106046535,137.71312215797934,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393228130042047,False,False,26.5,26.35,26.5,23.05,40.0,19.5,0,74.97448159183882,2.541316248754777,1.0,s4_narrow_passage_medium,M7,12,0.06,4.0
False,20.200000000000003,0.9738842207412242,0.26882732328446174,True,97.46029258999123,1487.7516840127196,0.012900540990428632,75.2841084216322,0.010262232202512428,0.26065667784927654,0.00654160409592046,0.00654160409592046,139.07278037265974,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539343322150723,False,False,26.1,26.1,26.1,22.650000000000002,40.0,19.85,0,74.95167493894728,2.5413101299166962,1.0,s4_narrow_passage_medium,M7,13,0.06,4.0
