success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,config
False,17.45,0.9737004843108148,0.28187162221577916,True,92.40960627150466,690.4403549264906,0.023512276321265086,72.132387190351,0.045126697100728586,0.5126689032937487,0.00645835067791612,0.00645835067791612,123.81543987982899,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.287331096706251,False,False,24.05,23.650000000000002,24.05,20.3,40.0,22.6,0,72.25731495961907,2.2904761786649135,1.0,s4_narrow_passage_medium,M7,14,2.8,1.0,1.4,sweep
False,17.85,0.971074768650195,0.3059857216487787,True,92.48883538718626,728.7221981704122,0.031835205992509365,72.12288328316602,0.05128302208491223,0.5063816941353424,3.5771873983354574e-05,3.5771873983354574e-05,124.42980763871462,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2936183058646575,False,False,23.900000000000002,23.8,23.900000000000002,20.650000000000002,40.0,22.200000000000003,0,72.26558458846293,2.2905017524121947,1.0,s4_narrow_passage_medium,M7,15,2.8,1.0,1.4,sweep
False,17.650000000000002,0.9359864128403232,0.2887330066657873,True,92.19205994377954,779.487095125658,0.02517686225551394,72.01447785748535,0.05124256693709817,0.5064218473124463,0.0002954578818023479,0.0002954578818023479,123.87940221003771,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2935781526875534,False,False,24.450000000000003,23.650000000000002,24.450000000000003,20.450000000000003,40.0,22.400000000000002,0,72.24129734226148,2.290481560982678,1.0,s4_narrow_passage_medium,M7,16,2.8,1.0,1.4,sweep
False,17.650000000000002,0.8600903524509247,0.3033077661327726,True,92.76772838479918,712.555901301112,0.03349979192675822,72.02961948794464,0.05127566632552366,0.5063888894918196,2.8316039676087358e-05,2.8316039676087358e-05,124.23953912923814,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2936111105081802,False,False,23.700000000000003,23.6,23.700000000000003,20.450000000000003,40.0,22.400000000000002,0,72.24828727178055,2.2904917637633146,1.0,s4_narrow_passage_medium,M7,17,2.8,1.0,1.4,sweep
False,17.900000000000002,0.9748116046391286,0.31706737879619395,True,92.29154024599518,739.6607219908581,0.033707865168539325,72.01526030229512,0.05127640779924941,0.5063882540605081,4.135957564773983e-05,4.135957564773983e-05,124.22470863526098,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.293611745939492,False,False,23.85,23.85,23.85,20.700000000000003,40.0,22.150000000000002,0,72.26639941468174,2.2905036954779705,1.0,s4_narrow_passage_medium,M7,18,2.8,1.0,1.4,sweep
False,17.6,0.8748894143950647,0.2825147601847198,True,92.0066427188886,716.4028769248648,0.03204327923429047,72.02109998576584,0.051280840683698,0.5063839418851933,6.315966129570961e-05,6.315966129570961e-05,123.56860958474685,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2936160581148064,False,False,23.900000000000002,23.75,23.900000000000002,20.450000000000003,40.0,22.450000000000003,0,72.28510772377848,2.2904875633002706,1.0,s4_narrow_passage_medium,M7,19,2.8,1.0,1.4,sweep
False,17.5,0.8172720146489134,0.2812712578133205,True,92.40666912538813,695.8337980630735,0.03682896379525593,72.12998367242582,0.04512242551283391,0.5126740949532235,0.006293892048505875,0.006293892048505875,123.61711149701036,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2873259050467762,False,False,23.75,23.700000000000003,23.75,20.25,40.0,22.55,0,72.26179439793748,2.2904749494549,1.0,s4_narrow_passage_medium,M7,20,2.8,1.0,1.4,sweep
False,17.900000000000002,0.8594932982203896,0.28756441805079647,True,92.65903841076772,848.546945953546,0.025593008739076155,72.07141963435132,0.045116718278839806,0.5126825514285142,0.0053827707373241915,0.0053827707373241915,124.3915095474044,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2873174485714856,False,False,24.700000000000003,24.0,24.700000000000003,20.700000000000003,40.0,22.150000000000002,0,72.27071151069867,2.290456179236333,1.0,s4_narrow_passage_medium,M7,21,2.8,1.0,1.4,sweep
False,17.55,0.9249414510291094,0.28145325914610264,True,92.3247482941706,727.7793258980429,0.027881814398668332,72.0501269601652,0.045067258089079666,0.5127347572468864,0.00629610249858144,0.00629610249858144,123.83666556515664,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2872652427531133,False,False,23.85,23.650000000000002,23.85,20.400000000000002,40.0,22.5,0,72.2870192695025,2.290477817475402,1.0,s4_narrow_passage_medium,M7,22,2.8,1.0,1.4,sweep
False,17.45,0.9036580886844747,0.28271089720887665,True,92.36432410124442,716.3011581569613,0.030170620058260506,72.03207788817244,0.05128296240121078,0.506381822301999,7.280610906113643e-05,7.280610906113643e-05,123.65708747995933,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2936181776980007,False,False,24.0,23.5,24.0,20.25,40.0,22.6,0,72.26687156870506,2.290481171493174,1.0,s4_narrow_passage_medium,M7,23,2.8,1.0,1.4,sweep
