method,t_pred,beta_lead,r_c,success_rate,collision_rate,completion_time_mean,current_center_error_mean,predicted_center_error_mean,input_sat_mean,gmax_mean,gmax_reach_time_mean
M7,1.3,0.35,3.2,0.0,1.0,60.0,2.799097252706279,3.8081652140683175,0.3307428994356555,312.9579185281322,60.0
M7,1.0,0.35,3.2,0.0,1.0,60.0,2.8833213970126814,3.6595281274883344,0.3249606809140531,314.68495157088097,60.0
M7,0.7,0.5,3.2,0.0,1.0,60.0,2.8881424851821316,3.4314876829966443,0.3249606809140531,315.104194346786,60.0
M7,0.7,0.35,3.2,0.0,1.0,60.0,2.9679219641671453,3.511267193447709,0.31936349338514197,316.11826826783977,60.0
M7,1.3,0.5,3.6,0.0,1.0,60.0,3.057139810853995,4.066209228883799,0.31260986215191044,317.0938211570555,60.0
M7,0.0,0.5,3.2,0.0,1.0,60.0,3.166354716742383,3.166354716742383,0.3061337774077158,319.56684649302815,60.0
M7,0.0,0.35,3.2,0.0,1.0,60.0,3.1663547167423847,3.1663547167423847,0.3061337774077158,319.5668464930282,60.0
M7,1.0,0.5,3.6,0.0,1.0,60.0,3.1751242975174887,3.9513317647125867,0.30456101396984,318.78067180456634,60.0
M7,1.3,0.35,3.6,0.0,1.0,60.0,3.2063740482905705,4.215443359496734,0.3022018688130262,318.77497174560244,60.0
M7,1.0,0.35,3.6,0.0,1.0,60.0,3.2897937215154287,4.066001136798939,0.29655842353594225,319.9660749870349,60.0
M7,0.7,0.5,3.6,0.0,1.0,60.0,3.29322378457911,3.836569160302178,0.2964659080395966,320.3431280175045,60.0
M7,0.7,0.35,3.6,0.0,1.0,60.0,3.3733889659239504,3.9167343236064,0.2908224627625127,321.0941956055207,60.0
M7,0.0,0.35,3.6,0.0,1.0,60.0,3.5690938333407,3.5690938333407,0.27750023128874085,323.2470992867599,60.0
M7,0.0,0.5,3.6,0.0,1.0,60.0,3.5690938333407,3.5690938333407,0.27750023128874085,323.2470992867599,60.0
